Tanggal,Daging Ayam Ras Segar,Daging Sapi Kualitas 1,Daging Sapi Kualitas 2
12/26/2024,36000,132500,127500
12/27/2024,36500,132500,127500
12/30/2024,36500,132500,127500
12/31/2024,35500,132500,127500
1/1/2025,35500,132500,127500
1/2/2025,35500,132500,127500
1/3/2025,35000,132500,127500
1/6/2025,34500,132500,127500
1/7/2025,33500,132500,127500
1/8/2025,33500,132500,127500
1/9/2025,33500,132500,127500
1/10/2025,33500,132500,127500
1/13/2025,33500,132500,127500
1/14/2025,33500,132500,127500
1/15/2025,33500,132500,127500
1/16/2025,33500,132500,127500
1/17/2025,33500,132500,127500
1/20/2025,34250,132500,127500
1/21/2025,34250,132500,127500
1/22/2025,34250,132500,127500
1/23/2025,34250,132500,127500
1/24/2025,34250,132500,127500
1/27/2025,34250,132500,127500
1/28/2025,34250,132500,127500
1/29/2025,34250,132500,127500
1/30/2025,34750,132500,127500
1/31/2025,34750,132500,127500
2/3/2025,34750,132500,127500
2/4/2025,34750,132500,127500
2/5/2025,34250,132500,127500
2/6/2025,34000,132500,127500
2/7/2025,34000,132500,127500
2/10/2025,34000,132500,127500
2/11/2025,34000,132500,127500
2/12/2025,33500,132500,127500
2/13/2025,33500,132500,127500
2/14/2025,33500,132500,127500
2/17/2025,33500,132500,127500
2/18/2025,33000,132500,127500
2/19/2025,33500,132500,127500
2/20/2025,33500,132500,127500
2/21/2025,33500,132500,127500
2/24/2025,34500,132500,127500
2/25/2025,34500,132500,127500
2/26/2025,35000,132500,127500
2/27/2025,35000,132500,127500
2/28/2025,35000,132500,127500
3/3/2025,35000,132500,127500
3/4/2025,35000,132500,127500
3/5/2025,36000,132500,127500
3/6/2025,36000,132500,127500
3/7/2025,36000,132500,127500
3/10/2025,35000,132500,127500
3/11/2025,35000,132500,127500
3/12/2025,35000,132500,127500
3/13/2025,35000,132500,127500
3/14/2025,35000,132500,127500
3/17/2025,33750,132500,127500
3/18/2025,33750,132500,127500
3/19/2025,33750,132500,127500
3/20/2025,33750,132500,127500
3/21/2025,33750,132500,127500
3/24/2025,33750,132500,127500
3/25/2025,33750,132500,127500
3/26/2025,33750,132500,127500
3/27/2025,34000,142500,137500
3/28/2025,34000,142500,137500
3/31/2025,34000,142500,137500
4/1/2025,34000,142500,137500
4/2/2025,34000,142500,137500
4/3/2025,34000,142500,137500
4/4/2025,34000,142500,137500
4/7/2025,34000,142500,137500
4/8/2025,34000,130000,125000
4/9/2025,34000,130000,125000
4/10/2025,34000,130000,125000
4/11/2025,34000,130000,125000
4/14/2025,32000,130000,125000
4/15/2025,30000,130000,125000
4/16/2025,30000,130000,125000
4/17/2025,30000,130000,125000
4/18/2025,30000,130000,125000
4/21/2025,30000,130000,125000
4/22/2025,30000,130000,125000
4/23/2025,30000,130000,125000
4/24/2025,30500,130000,125000
4/25/2025,30500,130000,125000
4/28/2025,30500,130000,125000
4/29/2025,30500,130000,125000
4/30/2025,30500,130000,125000
5/1/2025,30500,130000,125000
5/2/2025,30500,130000,125000
5/5/2025,30500,130000,125000
5/6/2025,30500,130000,125000
5/7/2025,30500,130000,125000
5/8/2025,30500,130000,125000
5/9/2025,30500,130000,125000
5/12/2025,30500,130000,125000
5/13/2025,30500,130000,125000
5/14/2025,32000,130000,125000
5/15/2025,32000,130000,125000
5/16/2025,32000,130000,125000
5/19/2025,31750,130000,125000
5/20/2025,31500,130000,125000
5/21/2025,31500,130000,125000
5/22/2025,31250,130000,125000
5/23/2025,30750,130000,125000
5/26/2025,30750,130000,125000
5/27/2025,30750,130000,125000
5/28/2025,30750,130000,125000
5/29/2025,30750,130000,125000
5/30/2025,30750,130000,125000
